Inicio de datos:
Giroscopo: -0.92, -3.48, 2.99
Acelerometro: 0.07, 0.96, 0.06
Giroscopo: -1.04, -3.97, 1.59
Acelerometro: 0.11, 1.02, 0.06
Giroscopo: -1.22, -2.75, 0.31
Acelerometro: 0.09, 1.00, 0.03
Giroscopo: -1.46, -1.95, -0.49
Acelerometro: 0.09, 0.99, 0.07
Giroscopo: -0.61, -1.04, -0.49
Acelerometro: 0.10, 1.02, 0.08
Giroscopo: -0.98, -0.31, -1.10
Acelerometro: 0.09, 0.99, 0.07
Giroscopo: -0.85, -1.22, -1.71
Acelerometro: 0.08, 1.00, 0.07
Giroscopo: -0.67, -1.59, -2.14
Acelerometro: 0.10, 1.00, 0.07
Giroscopo: -1.53, -1.95, -3.42
Acelerometro: 0.08, 0.97, 0.05
Giroscopo: -2.01, 0.31, -3.72
Acelerometro: 0.09, 0.98, 0.05
Giroscopo: -2.26, 2.08, -5.13
Acelerometro: 0.13, 1.00, 0.06
Giroscopo: -3.91, 2.38, -8.24
Acelerometro: 0.14, 1.02, 0.07
Giroscopo: -3.97, 3.17, -7.26
Acelerometro: 0.16, 1.02, 0.06
Giroscopo: -3.23, -0.18, -9.58
Acelerometro: 0.14, 0.97, 0.06
Giroscopo: -3.42, 1.53, -10.31
Acelerometro: 0.24, 1.04, 0.05
Giroscopo: -4.46, 4.82, -12.45
Acelerometro: 0.19, 0.99, 0.06
Giroscopo: -1.53, 0.55, -3.85
Acelerometro: 0.19, 0.99, 0.05
Giroscopo: -1.77, 0.00, -2.01
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -2.20, -2.01, -3.54
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -2.14, -1.40, -3.30
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -1.95, -0.85, -2.81
Acelerometro: 0.21, 0.99, 0.04
Giroscopo: -1.53, -0.49, -1.71
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.40, -0.85, -1.40
Acelerometro: 0.21, 0.98, 0.05
Giroscopo: -1.53, -0.79, -1.34
Acelerometro: 0.21, 0.98, 0.05
Giroscopo: -1.40, -0.55, -0.31
Acelerometro: 0.21, 0.99, 0.04
Giroscopo: -1.34, -0.43, 0.37
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -1.46, 0.24, 2.08
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.40, 0.31, 3.05
Acelerometro: 0.18, 0.99, 0.05
Giroscopo: -1.10, -0.37, 3.42
Acelerometro: 0.18, 1.01, 0.04
Giroscopo: -0.67, 0.12, 6.29
Acelerometro: 0.17, 1.05, 0.07
Giroscopo: 0.73, 0.24, 11.23
Acelerometro: 0.16, 1.04, 0.03
Giroscopo: 1.46, -4.03, 10.19
Acelerometro: 0.06, 0.94, 0.07
Giroscopo: -0.18, -3.91, 6.96
Acelerometro: 0.07, 0.97, 0.06
Giroscopo: -0.61, -1.83, 3.05
Acelerometro: 0.06, 0.99, 0.06
Giroscopo: -0.06, -2.62, 1.46
Acelerometro: 0.05, 0.99, 0.06
Giroscopo: -1.22, -3.78, -3.72
Acelerometro: 0.10, 1.01, 0.07
Giroscopo: -0.73, -1.83, -3.36
Acelerometro: 0.08, 1.00, 0.05
Giroscopo: -1.10, -1.22, -3.78
Acelerometro: 0.09, 0.98, 0.04
Giroscopo: -1.34, 0.06, -3.85
Acelerometro: 0.09, 1.00, 0.10
Giroscopo: -1.40, 1.65, -4.52
Acelerometro: 0.08, 0.98, 0.11
Giroscopo: -2.14, 1.16, -7.51
Acelerometro: 0.18, 1.01, 0.07
Giroscopo: -0.92, -1.16, -7.14
Acelerometro: 0.16, 1.00, 0.04
Giroscopo: -1.40, -1.22, -10.44
Acelerometro: 0.06, 0.89, 0.01
Giroscopo: -4.46, 3.30, -18.31
Acelerometro: 0.19, 0.98, 0.03
Giroscopo: -0.98, -1.16, -5.49
Acelerometro: 0.18, 1.00, 0.06
Giroscopo: -2.08, -0.06, -3.66
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -2.08, -2.14, -4.46
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -2.50, -1.65, -3.66
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -2.26, -0.61, -2.75
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -1.89, -1.59, -2.69
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -1.65, -1.22, -2.32
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.10, -0.92, -1.28
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -0.55, -0.73, -1.04
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -0.61, -0.49, -1.83
Acelerometro: 0.21, 0.99, 0.05
Giroscopo: -0.24, 0.55, -1.83
Acelerometro: 0.22, 0.99, 0.05
Giroscopo: 0.00, 0.12, -0.67
Acelerometro: 0.21, 0.99, 0.06
Giroscopo: -0.67, -1.46, -0.37
Acelerometro: 0.21, 0.99, 0.06
Giroscopo: -1.28, -2.62, 0.98
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -1.40, -0.79, 1.77
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -1.22, -0.61, 3.97
Acelerometro: 0.18, 1.00, 0.06
Giroscopo: -2.08, 1.77, 5.92
Acelerometro: 0.17, 1.03, 0.05
Giroscopo: 0.31, -1.04, 7.08
Acelerometro: 0.15, 1.02, 0.08
Giroscopo: 0.31, -1.65, 8.36
Acelerometro: 0.15, 1.02, 0.08
Giroscopo: -0.24, -2.75, 3.42
Acelerometro: 0.10, 0.96, 0.06
Giroscopo: -0.79, -6.65, 1.53
Acelerometro: 0.12, 1.01, 0.07
Giroscopo: 1.46, -9.03, 4.64
Acelerometro: 0.03, 0.94, 0.02
Giroscopo: -0.98, 1.28, 2.20
Acelerometro: 0.14, 1.00, 0.11
Giroscopo: -0.67, 0.06, 0.06
Acelerometro: 0.09, 1.00, 0.08
Giroscopo: -1.04, 0.43, -1.40
Acelerometro: 0.10, 1.00, 0.07
Giroscopo: -1.53, -0.24, -2.62
Acelerometro: 0.05, 0.96, 0.07
Giroscopo: -2.08, -1.59, -3.72
Acelerometro: 0.04, 0.94, 0.08
Giroscopo: -2.01, 3.54, -3.17
Acelerometro: 0.15, 1.05, 0.10
Giroscopo: -4.03, 1.71, -5.31
Acelerometro: 0.13, 1.02, 0.04
Giroscopo: -5.25, -1.77, -10.25
Acelerometro: 0.14, 1.00, 0.04
Giroscopo: -5.80, -0.49, -11.41
Acelerometro: 0.20, 1.05, 0.07
Giroscopo: -8.36, 2.26, -15.50
Acelerometro: 0.23, 1.00, 0.01
Giroscopo: -3.60, -0.24, -6.47
Acelerometro: 0.18, 0.99, 0.04
Giroscopo: -0.24, 1.04, 1.53
Acelerometro: 0.18, 1.00, 0.04
Giroscopo: -0.12, -1.34, -2.69
Acelerometro: 0.19, 0.99, 0.04
Giroscopo: 0.12, -1.95, -4.03
Acelerometro: 0.20, 0.99, 0.03
Giroscopo: -0.37, 0.24, -1.28
Acelerometro: 0.20, 0.99, 0.04
Giroscopo: -1.04, 0.31, -0.98
Acelerometro: 0.18, 0.99, 0.05
Giroscopo: -1.59, -0.55, -0.43
Acelerometro: 0.20, 0.99, 0.04
Giroscopo: -1.83, -0.55, -0.67
Acelerometro: 0.19, 0.99, 0.04
Giroscopo: -1.59, 0.06, 0.37
Acelerometro: 0.19, 0.99, 0.04
Giroscopo: -1.28, 0.00, 0.12
Acelerometro: 0.18, 0.99, 0.04
Giroscopo: -1.16, -0.85, -0.18
Acelerometro: 0.18, 0.99, 0.04
Giroscopo: -1.53, -1.16, -0.85
Acelerometro: 0.18, 0.99, 0.04
Giroscopo: -1.59, -1.59, -0.79
Acelerometro: 0.19, 0.99, 0.04
Giroscopo: -1.46, -1.59, 0.98
Acelerometro: 0.18, 1.00, 0.04
Giroscopo: -1.10, -0.55, 3.85
Acelerometro: 0.20, 1.03, 0.06
Giroscopo: 0.24, -1.89, 7.51
Acelerometro: 0.19, 1.07, 0.06
Giroscopo: 0.37, -4.46, 8.48
Acelerometro: 0.12, 0.97, 0.05
Giroscopo: 1.10, -6.96, 5.43
Acelerometro: 0.05, 0.93, 0.02
Giroscopo: -0.37, -5.62, 2.26
Acelerometro: 0.08, 0.99, 0.04
Giroscopo: -0.24, -0.37, 2.44
Acelerometro: 0.11, 1.02, 0.03
Giroscopo: -0.49, 0.31, 0.67
Acelerometro: 0.09, 1.00, 0.04
Giroscopo: -0.79, 1.89, 2.01
Acelerometro: 0.10, 1.01, 0.07
Giroscopo: -1.59, -0.06, -1.89
Acelerometro: 0.06, 0.98, 0.05
Giroscopo: -1.59, 1.89, -2.14
Acelerometro: 0.06, 0.97, 0.04
Giroscopo: -1.89, 2.38, -2.93
Acelerometro: 0.09, 1.03, 0.01
Giroscopo: -2.38, 2.26, -4.33
Acelerometro: 0.10, 0.99, 0.05
Giroscopo: -3.36, 0.06, -9.46
Acelerometro: 0.08, 0.95, 0.04
Giroscopo: -4.39, 3.30, -11.72
Acelerometro: 0.20, 1.04, 0.09
Giroscopo: -6.53, -0.24, -18.55
Acelerometro: 0.21, 1.00, 0.02
Giroscopo: -6.71, -2.81, -16.05
Acelerometro: 0.21, 0.98, 0.03
Giroscopo: -2.99, -0.06, -3.72
Acelerometro: 0.22, 0.99, 0.01
Giroscopo: -2.93, -0.98, -4.33
Acelerometro: 0.21, 0.99, 0.01
Giroscopo: -1.83, -1.28, -2.62
Acelerometro: 0.21, 0.99, 0.01
Giroscopo: -1.65, -1.10, -2.44
Acelerometro: 0.21, 0.99, 0.01
Giroscopo: -1.40, -0.06, -0.98
Acelerometro: 0.21, 0.99, 0.01
Giroscopo: -0.55, -0.18, -0.85
Acelerometro: 0.21, 0.99, 0.02
Giroscopo: -0.49, -1.22, -2.01
Acelerometro: 0.22, 0.98, 0.02
Giroscopo: -0.24, -0.79, -2.56
Acelerometro: 0.22, 0.99, 0.02
Giroscopo: -0.12, -0.85, -2.20
Acelerometro: 0.22, 0.98, 0.02
Giroscopo: -0.61, -0.49, -1.28
Acelerometro: 0.22, 0.99, 0.02
Giroscopo: -1.04, -0.12, -0.67
Acelerometro: 0.22, 0.99, 0.03
Giroscopo: -1.59, 0.73, -0.92
Acelerometro: 0.21, 0.98, 0.03
Giroscopo: -1.34, 0.43, 0.73
Acelerometro: 0.21, 0.99, 0.02
Giroscopo: -1.53, -0.79, 1.95
Acelerometro: 0.20, 0.99, 0.03
Giroscopo: -0.92, -0.43, 4.39
Acelerometro: 0.19, 1.00, 0.03
Giroscopo: -0.18, -1.16, 5.86
Acelerometro: 0.19, 1.00, 0.04
Giroscopo: 0.18, -0.73, 7.26
Acelerometro: 0.16, 1.03, 0.06
Giroscopo: 0.37, -0.37, 7.20
Acelerometro: 0.20, 1.05, 0.05
Giroscopo: 0.61, -4.15, 8.18
Acelerometro: 0.08, 0.98, 0.02
